,,,,,,"Client","Client","Online","Online","Roto","Roto","Tracking","Tracking","Anm","Anm","FX","FX","Light","Light","Comp","Comp",,,,,
"id","Shot Code","Status","Thumbnail","Sequence","Description","id","Status","id","Status","id","Status","id","Status","id","Status","id","Status","id","Status","id","Status","Cut In","Cut Out","Cut Duration","Project",
"1029","vfx001","wtg","/thumbnail/image/202","","Lactino, as the MGM Lion appears in a an iris. On a blue background, we
can see Lactino and Lactel logos and also the productʼs benefits (Vitamin D, Calcium and
protein) on the same frame.  Lactino says: ""Lactino !!!""",,,,,,,"744","wtg","745","wtg",,,"746","wtg","747","wtg","1","30","29","lactino_bhouse",
"1074","vfx002","wtg","/thumbnail/image/203","","Kids are about to finish the work… Suddenly Lactino appears.
Lactino (to the kids):
« Are you done?! »",,,,,,,"1040","cmpt","1041","wtg",,,"1042","wtg","1043","wtg","31","78","48","lactino_bhouse",
"1075","vfx003","wtg","/thumbnail/image/204","","Lactino is juming as a cartoon character around them, trying to encourage them.
But when it appears obvious that they canʼt succeed, he comes to foreground at full speed,
having a totally and hilarious disappointed expression.",,,,,,,"1044","wtg","1045","wtg",,,"1046","wtg","1047","wtg","108","147","40","lactino_bhouse",
"1076","vfx004","wtg","/thumbnail/image/205","","Lactino appears behind the kids, slowing down with a tire sound effect like in the
cartoons…
Immediatly, the kids twist towards him.
Lactino :
« If you wanna … »",,,,,,,"1048","wtg","1049","wtg",,,"1050","wtg","1051","wtg","148","189","42","lactino_bhouse",
"1077","vfx005","wtg","/thumbnail/image/206","","Lactino :
« … grow big here… »
In the same time he's moving the finger of his two hands around his head… Suddenly, his
head is getting bigger.
In the foreground, the kids are impressed.
Lactino :
« and here… »
He raises his two arms. Muscle are growing like bubbles Under the fur. Kids are impressed
one more time.",,,,,,,"1052","wtg","1053","wtg",,,"1054","wtg","1055","wtg","190","219","30","lactino_bhouse",
"1078","vfx006","wtg","/thumbnail/image/207","","Lactinoʼs back, blurred in the foreground.
Lactino :
«Therefore, you need …»",,,,,,,"1056","wtg","1057","wtg",,,"1058","wtg","1059","wtg","220","253","34","lactino_bhouse",
"1079","vfx007","wtg","/thumbnail/image/208","","Lactino comes full speed followed by the kids and moves the tool box (animated with nylon
wires). Mom puts the tray on the table.",,,,,,,"1060","cmpt","1061","wtg",,,"1062","wtg","1063","wtg","254","305","52","lactino_bhouse",
"1080","vfx008","wtg","/thumbnail/image/209","","Mom and Lactino twist to each other
making a big smile.",,,,,,,"1064","cmpt","1065","wtg",,,"1066","wtg","1067","wtg","306","393","63","lactino_bhouse",
"1081","vfx009","wtg","/thumbnail/image/210","","The words CALCIUM, VITAMIN D and PROTEIN are coming on the screen.",,,,,,,"1068","wtg","1069","wtg",,,"1070","wtg","1071","wtg","394","412","19","lactino_bhouse",
"1082","vfx010","wtg","/thumbnail/image/211","","« + » and « = » are added in post between the packs. 
The word « CALCIUM » as well.",,,,,,,"1072","wtg","1073","wtg",,,"1074","wtg","1075","wtg","413","438","26","lactino_bhouse",
"1083","vfx011","wtg","/thumbnail/image/212","","Track in on Lactino. At the beginning of the shot, heʼs still standing on the side of the mom. At the end, heʼs shot in close up.
With a very smart smile, heʼs looking at the children.
Lactino : « So, any idea ?! »
He twists to his right (to mom).",,,,,,,"1076","cmpt","1077","wtg",,,"1078","wtg","1079","wtg","468","500","33","lactino_bhouse",
"1084","vfx012","wtg","/thumbnail/image/213","","Lactino and the mom so happy the kids found the solution, they clap their hand in a « take five » action.",,,,,,,"1080","wtg","1081","wtg",,,"1082","wtg","1083","wtg","618","660","43","lactino_bhouse",
"1085","vfx013","wtg","/thumbnail/image/214","","Shot in two passes :
- the tree and the bird
- the tree and the kids
We mix the two passes in post.",,,,,,,"1084","wtg","1085","wtg",,,"1086","wtg","1087","wtg","661","702","42","lactino_bhouse",
"1086","vfx014_ps","wtg","/thumbnail/image/215","","Two packs on a white limbo. An iris is opened just above, with Lactino making a wink (as he says : « stay tuned for my next épisode !",,,,,,,"1088","wtg","1089","wtg",,,"1090","wtg","1091","wtg","703","750","48","lactino_bhouse",
